FamId	ExternalId	IntSampleId
JGH324	JGH324-03	JS 7672
JGH325	JGH325-01	JS 7673
JGH325	JGH325-02	JS 7674
JGH325	JGH325-03	JS 7675
JGH327	JGH327-01	JS 7676
JGH327	JGH327-02	JS 7677
JGH327	JGH327-03	JS 7678
JGH329	JGH329-01	JS7679
JGH329	JGH329-02	JS 7680
JGH329	JGH329-03	JS 7681
MGH001	MGH001-01	JS 7682
MGH001	MGH001-02	JS 7683
MGH001	MGH001-03	JS 7684
MGH001	MGH001-04	JS 7685
MGH002	MGH002-01	JS 7686
MGH002	MGH002-02	JS 7687
MGH002	MGH002-03	JS 7688
MGH002	MGH002-04	JS 7689
MGH004	MGH004-01	JS 7690
MGH004	MGH004-02	JS 7691
MGH004	MGH004-03	JS 7692
MGH004	MGH004-04	JS 7693
MGH500	MGH500-02	JS 7694
MGH501	MGH501-01	JS 7695
MGH501	MGH501-02	JS 7696
MGH501	MGH501-03	JS 7697
MGH501	MGH501-04	JS 7698
MGH501	MGH501-05	JS 7699
MGH502	MGH502-01	JS 7700
MGH502	MGH502-02	JS 7701
MGH502	MGH502-03	JS 7702
MGH502	MGH502-04	JS 7703
MGH503	MGH503-01	JS 7704
MGH503	MGH503-02	JS 7705
MGH503	MGH503-03	JS 7706
MGH503	MGH503-04	JS 7707
MGH504	MGH504-01	JS 7708
MGH504	MGH504-02	JS 7709
MGH504	MGH504-03	JS 7710
MGH505	MGH505-01	JS 7711
MGH505	MGH505-02	JS 7712
MGH505	MGH505-03	JS 7713
MGH507	MGH507-01	JS 7714
MGH507	MGH507-02	JS 7715
MGH507	MGH507-03	JS 7716
MGH508	MGH508-01	JS 7717
MGH508	MGH508-02	JS 7718
MGH508	MGH508-03	JS 7719
MGH509	MGH509-01	JS 7720
MGH509	MGH509-02	JS 7721
MGH509	MGH509-03	JS 7722
MGH509	MGH509-04	JS 7723
MGH510	MGH510-01	JS 7724
MGH510	MGH510-02	JS 7725
MGH510	MGH510-03	JS 7726
MGH510	MGH510-04	JS 7727
